ts,o,h,l,c,v
2021-01-01 00:00:00,737.18,740.0,730.44,731.64,46772.609
2021-01-01 00:15:00,731.7,732.99,730.0,732.36,20375.178
2021-01-01 00:30:00,732.36,735.1,732.21,734.18,14593.525
2021-01-01 00:45:00,734.18,736.35,733.04,734.6,16351.214
2021-01-01 01:00:00,734.61,744.49,734.0,744.47,42580.201
2021-01-01 01:15:00,744.48,744.62,740.9,743.41,32808.023
2021-01-01 01:30:00,743.39,749.8,741.78,748.32,57527.137
2021-01-01 01:45:00,748.34,750.4,747.01,749.33,31168.701
2021-01-01 02:00:00,749.37,750.4,745.11,745.73,24396.367
2021-01-01 02:15:00,745.74,747.93,745.44,746.35,19551.349
2021-01-01 02:30:00,746.35,746.77,743.23,745.59,23063.539
2021-01-01 02:45:00,745.59,748.0,744.33,745.15,11509.416
2021-01-01 03:00:00,745.15,746.86,744.29,745.19,9776.539
2021-01-01 03:15:00,745.19,746.51,744.39,746.35,7720.746
2021-01-01 03:30:00,746.34,748.44,745.21,746.75,15086.407
2021-01-01 03:45:00,746.75,747.96,745.7,745.88,7710.874
2021-01-01 04:00:00,745.9,747.45,744.6,745.41,10369.702
2021-01-01 04:15:00,745.42,748.04,745.3,746.37,12433.156
2021-01-01 04:30:00,746.37,747.17,740.41,742.39,26397.914
2021-01-01 04:45:00,742.53,744.45,742.52,743.4,8865.289
2021-01-01 05:00:00,743.46,744.32,740.46,743.63,14771.737
2021-01-01 05:15:00,743.65,743.92,741.31,742.32,9464.765
2021-01-01 05:30:00,742.32,742.85,740.42,742.07,8611.819
2021-01-01 05:45:00,742.07,743.22,741.0,741.61,8300.232
2021-01-01 06:00:00,741.73,744.09,741.73,742.63,11881.903
2021-01-01 06:15:00,742.63,743.69,738.12,738.45,20677.731
2021-01-01 06:30:00,738.48,740.5,737.8,740.25,13747.818
2021-01-01 06:45:00,740.24,740.88,738.92,740.76,6658.891
2021-01-01 07:00:00,740.76,741.54,735.1,735.45,36905.054
2021-01-01 07:15:00,735.43,739.49,735.24,736.81,21199.566
2021-01-01 07:30:00,736.75,738.68,735.55,737.73,11056.998
2021-01-01 07:45:00,737.73,738.68,736.45,738.18,7275.033
2021-01-01 08:00:00,738.18,739.55,733.27,734.21,30508.398
2021-01-01 08:15:00,734.22,734.43,725.59,731.01,76252.979
2021-01-01 08:30:00,731.02,734.25,727.37,728.11,29945.062
2021-01-01 08:45:00,728.1,732.84,727.11,731.01,22861.393
2021-01-01 09:00:00,731.01,734.02,730.0,732.71,15792.198
2021-01-01 09:15:00,732.71,735.23,731.92,734.01,12680.117
2021-01-01 09:30:00,734.0,735.41,733.33,733.86,16240.057
2021-01-01 09:45:00,733.88,735.5,733.49,734.38,8562.309
2021-01-01 10:00:00,734.38,737.91,733.81,737.53,21614.268
2021-01-01 10:15:00,737.46,737.46,735.17,736.0,9335.78
2021-01-01 10:30:00,736.01,738.7,735.74,738.1,12339.745
2021-01-01 10:45:00,738.1,739.52,736.51,737.69,11376.06
2021-01-01 11:00:00,737.69,739.55,736.7,738.99,12051.043
2021-01-01 11:15:00,739.06,741.9,738.5,741.5,19628.035
